word,macbeth_freq,atlantis_freq,coocurrencies
us,4,117,121
one,42,56,98
shall,68,25,93
thou,87,5,92
also,4,85,89
yet,57,30,87
time,53,33,86
may,50,32,82
come,56,24,80
make,39,38,77
great,32,45,77
good,49,27,76
would,48,27,75
etext,35,34,69
project,35,33,68
thee,61,7,68
like,42,23,65
king,53,12,65
hath,52,10,62
well,33,28,61
thy,56,5,61
things,27,32,59
man,33,25,58
see,37,18,55
know,34,21,55
say,39,15,54
must,38,14,52
made,17,34,51
men,16,34,50
many,12,38,50
day,22,26,48
said,5,40,45
done,35,10,45
lord,38,5,43
let,35,7,42
within,23,18,41
without,16,24,40
land,3,37,40
new,15,24,39
gutenberg,19,20,39
take,20,18,38
three,14,24,38
first,22,16,38
hand,23,14,37
wife,34,2,36
give,5,31,36
call,10,25,35
came,5,30,35
though,18,17,35
little,6,28,34
get,21,13,34
much,13,21,34
night,29,4,33
nature,20,13,33
etexts,16,16,32
sir,29,3,32
god,13,19,32
house,6,25,31
might,8,23,31
use,4,27,31
small,9,21,30
people,4,25,29
two,11,18,29
life,18,11,29
set,9,20,29
world,8,21,29
still,21,6,27
state,7,20,27
father,14,12,26
till,21,5,26
could,15,11,26
way,19,7,26
put,17,9,26
blood,23,2,25
forth,7,18,25
light,9,16,25
cannot,21,4,25
death,20,5,25
strange,16,9,25
son,16,9,25
art,18,7,25
number,3,21,24
thought,15,8,23
name,15,8,23
nothing,16,7,23
strangers,2,20,22
better,11,11,22
place,13,9,22
think,2,20,22
ye,3,19,22
tell,11,10,21
none,13,8,21
thus,15,6,21
years,2,19,21
whose,14,6,20
heart,18,2,20
rest,9,11,20
part,6,14,20
long,5,15,20
person,8,12,20
days,3,17,20
end,5,14,19
greater,3,16,19
worthy,16,3,19
away,14,5,19
rather,9,9,18
left,7,11,18
water,4,14,18
copyright,9,9,18
far,1,17,18
go,12,6,18
therefore,4,14,18
another,7,11,18
please,13,5,18
true,8,10,18
works,2,15,17
shew,16,1,17
earth,7,10,17
several,2,15,17
ere,15,2,17
either,3,13,16
friends,10,6,16
bring,9,7,16
country,6,10,16
books,4,12,16
next,3,13,16
stay,5,11,16
kings,12,4,16
form,6,10,16
last,11,5,16
since,8,8,16
means,1,15,16
words,11,5,16
sea,3,13,16
thing,8,8,16
stand,12,4,16
ever,1,15,16
knowledge,4,11,15
feast,5,10,15
dead,14,1,15
print,8,7,15
every,1,14,15
welcome,12,3,15
eye,11,4,15
noble,13,2,15
towards,4,11,15
hold,12,3,15
eyes,11,4,15
places,2,13,15
full,10,5,15
went,4,11,15
former,5,10,15
hands,12,3,15
public,6,9,15
free,9,6,15
sick,1,13,14
head,9,5,14
receive,4,10,14
whats,13,1,14
peace,11,3,14
right,5,9,14
laws,2,12,14
copy,8,6,14
face,10,4,14
order,2,12,14
kind,2,12,14
information,7,7,14
sight,10,4,14
old,9,5,14
present,9,5,14
together,6,7,13
find,2,11,13
return,3,10,13
among,5,8,13
answer,7,6,13
work,4,9,13
wood,11,2,13
high,6,7,13
files,6,6,12
others,3,9,12
university,6,6,12
colours,6,6,12
enough,8,4,12
sit,7,5,12
whole,4,8,12
found,3,9,12
honor,11,1,12
domain,6,6,12
